ID	Scenario	Expected invariant	Evidence and test command	Actual result	Responsible module	Severity	Required repair or explicit accepted limitation
M01	S1,S4,S9	Each physical model invocation has a unique identity, separately from capture and logical cycle	C1 acquisition probes; 04:F03,F04; source identity manifest	PARTIAL after repair: producer epoch/cycle and /chunk/N invocation IDs are unique in the 101-test acquisition packet. The requested source_batch_id still names one logical cycle shared by physical chunk calls, so invocation identity is a different field	04 perception; 13 epoch/provenance	P1 interface	Keep producer epoch/cycle/invocation hierarchy, then either make source_batch_id invocation-unique or amend the cross-repository contract and propagate invocation_id into detector outcomes/logger. Preserve exact capture nanoseconds.
M02	S1,S4	Backend output count and camera mapping agree for each call	C1 test_chunk_result_counts_can_compensate_and_shift_identity; 04:F03	REPAIRED in later scoped packet: every chunk count is checked before concatenation and conflict/count tests pass; no simulator integration followed	04 perception	P1 conditional	Retain per-chunk cardinality/mapping regressions and log the abort outcome. No model or selection change is needed.
M03	S4,S6,S9	All pending and superseded camera transactions are bounded and accounted for	C1 acquisition tests; 04:F01,F05,F06; 06:D10; 07:F07	PARTIAL after repair: manager pending batches are bounded to 64 with timeout/closed-ID ledgers and detector buckets to 32; conflicts/expiry are explicit. Physical-round identity and logger persistence of all outcomes remain open	04 acquisition; 07 receiver; 10 logs	P1/P2	Retain bounded ledgers and explicit conflicts. Bind physical frame/cycle membership and persist every terminal batch outcome; all-five scheduling remains a declared limitation.
M04	S6,S10	Detector failure has an explicit abort/lifecycle consequence and differs from a miss	C1 acquisition tests; 04:F02,F05	PARTIAL after repair: detector/manager process exits trigger shutdown and preclaim/abort outcomes pass scoped tests. DDS/process hard loss can still leave only a prefix, and the logger does not durably collect every acquisition outcome	04 perception; 13 launch; 10 logs	P1	Retain lifecycle wiring/preclaim. Add independent liveness, durable cycle outcomes and prefix/abort reconciliation; never synthesize a miss.
M05	S1,S7	Input image, bbox pixel, camera calibration and physical reference are consistent before gating	C1 reference tests; C3 geometry.json; 05:G01,G02; 06:D10; 07:F10	FAIL on malformed/configured substitution: frame/calibration labels ignored, inconsistent/reversed boxes map to finite measurements; substituted B projection shifts output. Normal frozen-box projection/NN/R equality passes	05 geometry; 04 producer; 13 artifacts	P1 conditional	Validate dimensions, positive half-open bbox, selected pixel, per-ID geometry digest and target. Keep current model bytes; no refit is needed for metadata checks.
M06	S4	Common-time operands use supported physical displacement in the correct frame	C4 fusion probes; 07:F01; 06:P05; 02:T02-06	FAIL: nearby same/future pose may produce zero displacement while advancing stamp; belief correction jump can become motion; raw odom delta ignores map rotation	07 manager with 01/02 motion API, 05 frames	P1	Use one immutable supported motion-only displacement query, exact endpoints and map transform. Retain original capture mean/R and support metadata; model shared motion uncertainty separately.
M07	S1,S4	Normal robust fusion preserves full R and emits a single measurement rather than another robot posterior	C1 fusion tests; C4 registered event; 07 equations	PASS scoped: selected B/C event reconstructs exact mean/full R; joint identical equal-R cameras retain R; empty set emits no correction	07 fusion	PASS / model limit	Keep robust semantics explicit. This verifies algebra, not covariance calibration, temporal independence or equivalence to planner precision addition.
M08	S1,S4,S10	State commit, seen-ID and terminal outcome are one recoverable transaction	C2 untracked_bootstrap; C4 node publication-failure probes; 01:R03; 02:T02-02; 06:D01; 07:F02	PARTIAL after owner repair: mandatory-envelope compatibility bootstrap is removed and its identified bootstrap regressions pass. Commit/seen-ID/terminal-outcome atomicity and manager-to-filter publication failure remain open	01 filter transaction; 07 fusion event; 10 ledger	P1	Retain envelope-only bootstrap. Make state/revision/seen ID/terminal result one stored transaction before outward publication; retry returns the immutable outcome.
M09	S2,S3,S4	Every replay uses finite chronological input and verifies start/interior/tail support	C2 out_of_order_motion, stale_motion, missing_prefix_and_empty_history, event_stream.json; 01:R01; 02:T02-01; 06:D02	PARTIAL after owner repair: finite input validation, an accepted nanosecond watermark and late/equal-stamp refusal make callback completion order deterministic. Missing prefix/interior/tail motion still lacks a persistent invalid-state contract; large gaps still rebase the encoder interval	01 recursion; 02 ingestion	P1	Retain chronological refusal. Add immutable replay support coverage and state validity for omitted intervals, propagated through belief/planning/logger; define recovery separately.
M10	S2,S3,S5	Coverage check certifies exactly the history replayed	C2 outage_support_snapshot_race and coverage_check_and_replay_use_different_buffers; 01:R02; 02:T02-05	REPAIRED scoped: one frozen odometry/command fallback snapshot feeds coverage and replay; current desired-invariant regressions pass. Broader missing-motion validity remains M09	01 replay; 02 scheduling	P1	Retain the immutable snapshot regression and expose its support result in the state/revision record.
M11	S1,S4,S9	Bootstrap heading, covariance and XY describe the capture instant	C2 backdated_heading, encoder_order_and_gap; 01:R05,R06,R09; 06:D06	FAIL: latest yaw backdated then replayed again; old encoder sample rewinds integration clock; large gap skips motion without invalid state; stopped/disabled metadata grows noise	01 heading/encoder model; 14 input lifecycle	P1/P2	Timestamp heading and validity, advance integrated clock only on valid steps, distinguish receipt/integrated/support clocks. Preserve accumulated covariance; align noise activity metadata without claiming Q calibration.
M12	S1,S2,S5	Initialized coupled update is serialized and Joseph mean/covariance are coherent	C1 runtime_transactions/commissioning_joseph; C2 complete_trace, full_covariance_snapshot, simultaneous_duplicate_envelopes	PASS scoped: one writer, correct full Joseph covariance, read-only prediction after initialization, superseded-anchor output suppressed	01 estimator; 02 callbacks	PASS	Retain regressions. Alias of returned committed arrays is an API hazard (01:R07/R08 diagnostics separate; 01 alias_hazard); copy/own immutable outputs when extracting transaction engine.
M13	S4,S5,S9	Belief publications and planner metadata identify one frame/epoch/revision/target and never regress	C2 publication_overtakes, equal_time_revision_lost_by_consumer, planner_metadata_from_superseding_update, frame_from_different_event; 02:T02-03,T02-06,T02-07,T02-08	FAIL: same-anchor publications arrive 10.2 then 10.0; equal-time newer revision is dropped by manager; planning metadata rereads newer anchor; compatibility frame can relabel state	02 snapshot/publication; 07 consumer; 03 installation	P1/P2	Authoritative frame plus epoch/revision/target snapshot and publication watermark; token-aware consumers and installation. Do not stamp completion time onto earlier state.
M14	S5,S6	Correction serialization leaves input and command callbacks serviceable	C2 correction_worker_starvation; 02:T02-09	FAIL scheduling mechanism: one calculating and one lock-waiting correction occupies both executor workers; live latency/loss unmeasured	02 scheduling	P2	Mutually exclusive correction callback group or dedicated event worker; preserve input servicing and instrument queue age. More threads alone do not prove a bound.
M15	S5,S8,S10	Stop generation cancels in-flight work; fatal stop dominates all nonzero publication	C1 transactions; C2 commands.json local_ordinary_stop/local_fatal; 03:C03-01	REPAIRED scoped in current tree: stop generation is captured before work and rechecked atomically at the shared install boundary; cancelled work cannot erase a replacement. Fatal latch remains dominant. Physical zero/application is still M17/M52/M62	03 command owner	P1	Retain current stop-generation and fatal regressions. Extend the token with goal/belief/epoch validity separately; verify downstream physical stop under 14.
