path,kind,tracked/untracked/generated,current thesis role,category,evidence,recommended action,risk if removed,notes
.venv/,dir,generated local environment,Local python environment only,Generated Noise,visible root item,ignore in thesis story; leave local,low,
.pytest_cache/,dir,generated local cache,pytest cache only,Generated Noise,visible root item,ignore in thesis story; leave local,low,
build/,dir,generated build tree,colcon build output only,Generated Noise,visible root item,ignore in thesis story; prune freely,low,
install/,dir,generated install tree,colcon install output only,Generated Noise,visible root item,ignore in thesis story; rebuild as needed,low,
log/,dir,generated build logs,colcon build logs only,Generated Noise,visible root item,ignore in thesis story; prune freely,low,
logs/,dir,generated experiment outputs,"canonical runtime and offline outputs, but not source",Generated Noise,README + active scripts reference logs as output root,keep for provenance but move out of conceptual repo story,medium,contains active artifacts and summaries
logs/experiments/,dir,generated run logs,logged planner runs and manifests,Generated Noise,experiment_logger + evaluation scripts,retain only needed evidence; archive old runs externally,medium,second-latest run is current paper evidence
logs/visibility_comparison/,dir,generated comparison artifacts,current offline GP-target and GP-artifact output root,Generated Noise,fit_visibility_gps.py + build_gp_targets.py + thesis report,"keep as output/provenance, not as hand-maintained source",medium,currently canonical artifact source
logs/perception_models/,dir,generated model outputs,runtime-accessible trained detector outputs,Generated Noise,active scripts default here for yolo model path,keep one canonical model; archive extras externally,medium,duplicates packaged models under src/experiments/data
logs/perception_datasets/,dir,generated dataset outputs,offline detector-training datasets,Generated Noise,perception training scripts,archive externally after training or regenerate,low,not part of paper runtime path
archive/,dir,tracked archive subtree,historical notes and legacy code kept out of active story,Legacy Compatibility,archive/README + active docs exclude archive from first-pass reading,keep archived or move farther from active tree,low,should never appear in thesis core reading path
docs/,dir,tracked docs subtree,"active documentation surface, but with drift and deleted assets in working tree",Paper-Core but Simplify,docs/README + current thesis report + git status,"keep, but prune and align to current paper story",medium,contains both canonical docs and stale cleanup notes
scripts/,dir,tracked scripts subtree,"offline tooling for GP fitting, plotting, training, and evaluation",Paper-Core but Simplify,scripts/README + docs/evaluation_and_plots.md,"keep, but separate core pipeline from optional tooling",medium,current scope is narrower than script surface
src/,dir,tracked source subtree,runtime and launch code for the thesis comparison,Paper-Core but Simplify,root README + thesis-report + active launches,keep as main codebase; simplify aggressively,high,central thesis implementation lives here
tests/,dir,tracked tests subtree,thin verification layer for selected math and tooling,Paper-Core but Simplify,tracked tests + current milestone reproducibility needs,"keep, but align coverage to actual core path",medium,coverage is selective rather than comprehensive
UnembodiedNavigation/,dir,untracked local spillover,visible nested directory with no tracked thesis role,Local Spillover,visible root item; no tracked files under git surface,inspect and remove if accidental,low,likely accidental leftover
yolo11n-seg.pt,file,untracked external dependency artifact,base YOLO segmentation checkpoint for local training,External Dependency Artifact,perception docs + train_yolo_seg.py + model manifests,keep outside tracked thesis source; document download/provenance,medium,"used as local base model, not thesis source"
yolo11n.pt,file,untracked external dependency artifact,generic YOLO checkpoint not on current paper path,External Dependency Artifact,code_review.txt notes root weights as local artifacts,move out of repo root unless still needed,low,adds noise at repo root
yolo26n.pt,file,untracked external dependency artifact,extra YOLO checkpoint with no clear current milestone role,External Dependency Artifact,visible root item; no active scripts reference it,remove or move out of repo root after confirmation,low,strong noise candidate
.codex,file,tracked,empty placeholder with no thesis function,Dead Code / Dead File,empty tracked root file; no runtime/docs role,remove from repo,low,
.gitignore,file,tracked,repo hygiene for generated and local artifacts,Paper-Core,repo maintenance file required to keep noise out of git,keep,high,
README.md,file,tracked,main onboarding narrative for the current thesis repo,Docs Drift / Story Drift,root README + thesis report + active implementation differ on covariance blend and current scope details,"update to match YOLO-first, precision-blend, current-paper story",high,active onboarding surface
archive/README.md,file,tracked,declares historical-only boundary for archived material,Legacy Compatibility,archive/README + active docs explicitly de-emphasize archive,keep archived,low,
archive/experiments/tasks_legacy.yaml,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
archive/visibility_legacy/README.md,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
archive/visibility_legacy/fit_empirical_visibility_gp.py,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
archive/visibility_legacy/generate_docs_figures.py,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
archive/visibility_legacy/plot_visibility_run.py,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
